GAME_MODE,DIFFICULTY,SCORE
Normal Mode,EASY,29
Normal Mode,EASY,10
Normal Mode,EASY,2
Normal Mode,EASY,0
Normal Mode,EASY,0
Normal Mode,EASY,0
Normal Mode,EASY,0
Normal Mode,EASY,0
Normal Mode,EASY,0
Normal Mode,EASY,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,MEDIUM,0
Normal Mode,HARD,6
Normal Mode,HARD,1
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,HARD,0
Normal Mode,IMPOSSIBLE,1
Normal Mode,IMPOSSIBLE,1
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Normal Mode,IMPOSSIBLE,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,EASY,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,MEDIUM,0
Timer Mode,HARD,20
Timer Mode,HARD,4
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,HARD,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
Timer Mode,IMPOSSIBLE,0
